title,artist_name,release,year,tag,caption_writing
Honey Dripper,Reuben Wilson,Organ Blues,0,"['exuberant' 'jazz' 'soul jazz' 'amiable good natured' 'rollicking'
 'jazz funk' 'fun' 'summery' 'cheerful']","Get ready to groove with the exuberant and rollicking rhythms of this amiable jazz funk composition, perfect for summery days filled with cheerful and good-natured fun, as the soulful melodies transport you to a world of unabashed joy and Soul Jazz magic."
You Must Learn,Boogie Down Productions,Ghetto Music,1989,['hip hop'],Get ready to vibe to the electrifying beats and skillful rhymes of this hip hop track that's guaranteed to make you move.
Never Been Touched Like This,Denise Lasalle,Smokin' In Bed,1997,['rnb' 'soul blues' 'female vocalists' 'soul' 'blues'],"This powerful soul blues track features mesmerizing female vocals that blend the best of soul, blues, and R&B into a sensational and unforgettable musical experience."
Four Egos_ One War,The Tangent,Not As Good As The Book,0,"['rock' 'heavy metal' 'prog rock' 'art rock' 'progressive rock' 'neo prog'
 'pop rock' 'strong' 'lively']","This song features a dynamic blend of progressive rock, art rock, and pop rock that delivers a strong and lively experience, infused with heavy metal elements that showcase the band's love for prog rock and rock in general, making it the perfect anthem for fans of the neo prog movement."
Smooth,iio,Poetica,2004,"['night driving' 'confident' 'smooth' 'trance' 'celebratory' 'club dance'
 'progressive house' 'club' 'bright' 'light' 'hypnotic' 'passionate'
 'rousing' 'electronic' 'dance pop' 'stylish' 'sensual' 'energetic'
 'dance' 'house' 'pop rock' 'nocturnal' 'lively' 'slick']","Get ready to hit the club and dance the night away with this energetic and hypnotic club dance anthem that seamlessly blends progressive house and electronic beats with pop rock melodies and passionate vocals, all while exuding a confident and celebratory vibe perfect for lively nocturnal adventures."
Last Man Standing,Duran Duran,Red Carpet Massacre,2007,"['confident' 'dramatic' 'partying' 'romantic' 'celebratory'
 'guys night out' 'rock' 'club' 'girls night out' 'pop' 'synth pop' 'sexy'
 'late night' 'passionate' 'sophisticated' 'dance rock'
 'contemporary pop rock' 'stylish' 'sensual' 'clinical' 'swaggering'
 'pop rock' 'atmospheric' '00s' 'playful' 'slick']","Get ready to dance the night away with our latest release - a contemporary pop rock anthem with a confident and stylish swaggering sound, blending sophisticated rock and thrilling dance vibes. With slick synth pop beats, passionate lyrics, and a dramatic atmosphere that's perfect for your late night guys or girls night out partying - this celebratory track is both sexy and playful, offering an innovative mix of a romantic and atmospheric rock ballad with a dance rock club hit feel. So come on and join us on the dancefloor - let's get clinical, let's get sensual, let's get sexy with this modern 00s pop rock sensation!"
All Night Long,Junior Kimbrough,You Better Run,1999,['blues'],This blues track is a soulful and raw exploration of heartache and despair.
Richmond,Joe Bonamassa,Sloe Gin,2007,"['earnest' 'reflective' 'brooding' 'blues rock' 'smooth' 'guitar'
 'intense' 'guitar virtuoso' 'heartache' 'american trad rock' 'rock'
 'energetic' 'alternative indie rock' 'acoustic'
 'adult alternative pop rock' 'feeling blue' 'searching'
 'singer songwriter' 'pop rock' 'nocturnal' 'blues' 'intimate' 'hard rock'
 'drinking']","This adult alternative pop rock song is an energetic and intense blend of alternative indie rock and blues rock, showcasing the guitar virtuoso's skills within american trad rock, pop rock and hard rock. The song's brooding and reflective lyrics touch on heartache, drinking, and feeling blue, while the singer-songwriter's smooth and intimate vocals add a sense of earnestness to the nocturnal piece. The acoustic guitar melodies further enhance the introspective and searching nature of this powerful rock ballad."
Suffer The Season,Shadows Fall,Somber Eyes To The Sky,1998,['heavy metal' 'metal' 'pop rock'],"This high-energy pop rock anthem features heavy metal guitar riffs and thunderous drums, blending the best of both genres into a headbanging metal masterpiece."
Losers & Winners,Hellsongs,Pieces of Heaven_ a glimpse of Hell,2009,['easy' 'acoustic' 'pop rock'],"This pop rock tune is the perfect balance of easy, acoustic melodies and catchy, upbeat vocals to make you tap your toes and sing-along."
Stone Blind,Sleepy John Estes,Legendary Country Blues Artists - CD B,0,['blues'],"Featuring soulful vocals and guitar riffs that illustrate poignant feelings of heartbreak, this bluesy ballad will have you reaching for the tissues."
The Secrecies Of Horror (Album Version),Pestilence,Testimony Of The Ancients,0,['death metal' 'heavy metal' 'pop rock'],This song features a dynamic blend of pop rock that seamlessly transitions into heavy metal and ultimately builds into a powerful crescendo of death metal vocals.
Diez Razones Para Vivir,Danza Invisible,Bazar,2000,['pop' 'pop rock'],"Get ready to sing and dance along to this catchy pop rock anthem that seamlessly blends the best of both worlds - the infectious beats and grooves of pop, with the gritty guitars and anthemic choruses of pop rock."
Mi Memoria,Luz Casal,Sencilla Alegria,2004,"['latin pop' 'jazz' 'spanish' 'sentimental' 'dreamy' 'striding'
 'female vocalists' 'pop rock' 'strong' 'latin']","This sentimental pop rock song features powerful female vocalists, elements of jazz and Latin rhythms, a striding beat, dreamy instrumentals, and touches of Spanish for a unique and memorable Latin pop sensation."
Black Planet,Antigama,The Warning,2009,['ambient'],"This hauntingly beautiful song is the epitome of ambient music, with its dreamlike layers and ethereal vocals."
Azagthoth,Morbid Angel,Abominations Of Desolation,1991,"['death metal' 'urgent' 'exciting' 'malevolent' 'intense' 'thrash metal'
 'menacing' 'heavy metal' 'unsettling' 'rousing' 'nihilistic'
 'tense anxious' 'energetic' 'suffocating' 'fiery' 'manic' 'rebellious'
 'pop rock' 'harsh' 'fierce' 'visceral']","This song is an energetic and exciting mix of pop rock and heavy metal, with an intense and menacing sound that urgently draws the listener in. With harsh, suffocating vocals and visceral instrumentation, this manic and rebellious track is a rousing anthem of nihilistic rebellion. Combining elements of thrash metal and death metal, its fiery and fierce delivery is both unsettling and captivating, with a tense anxiety and malevolent energy that sears through to the bone."
Don't Take My Girl Away,Dave Hollister,Chicago '85...The Movie,0,['organic' 'intense' 'rnb' 'passionate' 'sensual' 'urban' 'soul'],This soulful R&B track is an intense and passionate urban anthem that blends sensual vocals with organic instrumentation for an unforgettable listening experience.
Crazy Cryin Blues,Memphis Minnie,Crazy Crying Blues,0,"['confident' 'regional blues' 'pre war country blues' 'passionate'
 'acoustic blues' 'earthy' 'blues' 'acoustic memphis blues']",Get ready to feel the passionate and confident energy of acoustic Memphis blues with a touch of pre-war country blues in this earthy regional blues tune that will leave you longing for more of its authentic acoustic sound.
Do It ('Til You're Satisfied),BT Express,BT Express - 24 Street Funk Classics From Brooklyn's Finest,0,['70s' 'rnb' 'new york' 'dance' 'funk' 'soul' 'disco'],"This funky and soulful track takes listeners back to the disco era of 70s New York, seamlessly blending R&B and dance rhythms for an infectious groovy sensation."
Hands,Nonpoint,Development,2002,"['cathartic' 'urgent' 'dramatic' 'aggressive' 'intense' 'rock' 'rowdy'
 'menacing' 'brittle' 'confrontational' 'heavy metal' 'nu metal' 'brash'
 'rousing' 'alternative metal' 'raucous' 'tense anxious' 'energetic'
 'manic' 'reflection' 'swaggering' 'searching' 'pop rock' 'hard rock'
 'lively' 'rap metal' 'volatile']","This adrenaline-fueled track is a collision of alternative metal, pop rock, and nu metal with a hard rock backbone, featuring rap metal verses and a dramatic, explosive chorus that's both aggressive and urgent. The intense, menacing vocals are equal parts cathartic and confrontational, heavily layered with a brash, swaggering delivery and manic, lively instrumentation that keeps the tension high and the energy volatile. As the song builds to a rousing, rowdy climax, the lyrics offer reflection on the tensions and anxieties of modern life, with a searching, intense quality that makes the track a true cathartic release."
Bed-In,Eugenius,Oomalama & Tireless Wireless (Eugenius Radio Sessions),0,['power pop' '90s'],Enter a world of infectious hooks and driving guitar riffs with this power pop track that captures the vibrant energy of 90s alternative rock.
I Play For Keeps,Carla Thomas,Carla Thomas - Stax Profiles,1969,['soul'],This song has a soulful melody that will move you to tears.
I Want To Be Your Lover,Frijid Pink,Hibernated - Frijid Pink,1970,['70s' 'rock' 'classic rock' 'drums' 'hard rock'],This classic rock song from the 70s features hard-hitting drums that bring an intense energy to the rock sound.
Hail H.I.M.,Burning Spear,Gold,1980,"['hanging out' 'earnest' 'urgent' 'laid back mellow' 'political reggae'
 'confident' 'revolutionary' 'druggy' 'roots reggae' 'stately' 'literate'
 'hypnotic' 'reverent' 'spiritual' 'street smart' 'earthy' 'empowering'
 'poignant' 'reggae' 'plaintive' 'dub']","This politically charged reggae anthem is both empowering and revolutionary, with a spiritual and poignant message that's delivered with the confident and laid back mellow vibe of roots reggae. The earnest and urgent lyrics are set against a hypnotic and earthy beat, with a druggy and stately dub undertone that makes it perfect for hanging out or getting lost in thought. With a reverent and literate approach that's street smart and plaintive, this is a song that will leave you inspired and moved."
The Truth,Kittie,In The Black,2009,"['malevolent' 'aggressive' 'intense' 'metalcore' 'menacing'
 'girls night out' 'confrontational' 'heavy metal' 'alternative metal'
 'loss grief' 'street smart' 'empowering' 'ominous' 'metal' 'pop rock'
 'angry' 'volatile']","Get ready to unleash your inner anger with this empowering and confrontational alternative metal and pop rock anthem that blends heavy metal, metalcore, and intense vocals, perfect for a girls night out, while also evoking feelings of loss, grief, and ominous overtones, with an aggressive and volatile edge that is both street smart and malevolent."
I Think I See The Light,Cat Stevens,Mona Bone Jakon,1970,"['earnest' 'laid back mellow' 'reflective' 'brooding' '70s' 'soft rock'
 'melancholy' 'album rock' 'classic rock' 'reverent' 'spiritual' 'wistful'
 'restrained' 'contemporary pop rock' 'introspection' 'cerebral' 'gentle'
 'reflection' 'singer songwriter' 'pop rock' 'poignant' 'intimate'
 'long walk' 'folk' 'sunday afternoon']","Transporting listeners on a spiritual journey of introspection and reflection, this poignant classic rock ballad with elements of folk, soft rock, and contemporary pop rock captures a mood of gentle melancholy and wistful brooding, as if taking a long walk on a Sunday afternoon with the album rock sounds of the 70s and the heartfelt earnestness of a singer songwriter, all while maintaining a laid back mellow vibe that's both restrained and cerebral, ultimately leaving them feeling intimately connected to the reverent and reflective nature of the song."
My Tribute (To God Be The Glory),James Morrison,James Morrison: Gospel Collection Volume One,2003,['british' 'gospel' 'acoustic' 'soul'],"This British singer-songwriter delivers a soul-stirring performance, backed by gospel-inspired harmonies and the warm tones of an acoustic guitar."
Can You Give Me Love With A Guarantee,Gladys Knight & The Pips,Knight Time + A Little Knight Music,1972,['70s' 'soul'],"This soulful track transports listeners back to the groovy 70s with its funky bassline, smooth vocals, and vintage instrumentation."
Heaven Only Knows,K-OS,Exit,2002,"['elegant' 'canadian' 'literate' 'pop' 'hip hop' 'hypnotic' 'rousing'
 'underground rap' 'rap' 'cerebral' 'bittersweet' 'peaceful'
 'alternative rap']","This hypnotic and rousing rap song showcases the literate and cerebral style of Canadian underground rap with its elegant and bittersweet pop vibes, delivering a peaceful and alternative take on the typically gritty and aggressive hip hop genre."
Sabina Seat,Speedy J,A Shocking Hobby,2000,"['wintry' 'winter' 'intense' 'club dance' 'electronica' 'idm' 'hypnotic'
 'techno' 'glitch' 'minimal' 'electronic' 'experimental' 'complex'
 'ambient techno' 'cerebral' 'clinical' 'dark ambient' 'ambient'
 'visceral' 'detached']","This techno and electronica piece is both detached and intense, with hypnotic glitch and glitchy beats that create a visceral, wintry atmosphere. The complex, cerebral sound combines elements of dark ambient, idm, and ambient techno, creating an almost clinical, experimental sound that is both minimal and club-dance friendly."
Fe,Lucybell,Comiendo Fuego,2006,"['urgent' 'dramatic' 'aggressive' 'intense' 'rock' 'rollicking' 'rousing'
 'energetic' 'rock en espaol' 'ambitious' 'yearning' 'pop rock' 'crunchy'
 'latin']","This wildly ambitious and intense pop rock anthem boasts a rollicking Latin beat, crunchy guitars, energetic vocals, and a yearning sense of urgency, making it a dramatic and rousing addition to any rock en español playlist."
Badabing,Copywrite,The High Exhaulted,2002,['hip hop' 'rap'],"This track is a high-energy rap/hip hop hybrid, filled with heavy beats and lightning-fast lyrics that are sure to get the crowd jumping."
You're Right I'm Left_ He's Gone,Wanda Jackson,I Remember Elvis,0,"['celebratory' 'brash' 'contemporary pop rock' 'energetic' 'rocknroll'
 'country' 'female vocalists' 'pop rock' 'lively']","Get ready to dance the night away with this energetic and lively pop rock anthem, featuring bold and brash female vocalists and a contemporary pop rock sound that blends rock n' roll with a touch of celebratory country flair."
Piece (Hell Yeah),Lita Ford,Wicked Wonderland,2009,"['sexual' 'confident' 'partying' 'aggressive' 'guitar virtuoso'
 'theatrical' 'rowdy' 'girls night out' 'heavy metal' 'reckless' 'brash'
 'indulgent' 'pop metal' 'energetic' 'fun' 'silly' 'metal' 'rebellious'
 'pop rock' 'hard rock' 'playful']","This pop metal anthem features an aggressive and energetic guitar virtuoso solo, perfect for a rowdy night out with your girlfriends as you confidently rebel against convention and indulge in some reckless, brash, and silly fun. Theatrical and playful, this heavy metal partying anthem is both sexual and indulgent, making it the ultimate hard rock soundtrack for a girls' night out."
Pork Soda,The Headhunters,Straight From The Gate,1977,"['crossover jazz' 'fusion' 'jazz' 'rnb' 'restrained' 'jazz funk' 'funk'
 'strong' 'lively']","This lively and strong jazz funk crossover is fused with elements of R&B, resulting in a restrained yet vibrant and danceable fusion of genres."
Amelie Colbert,Laurent Voulzy,Live,0,['pop' 'international' 'pop rock' 'french pop'],"This upbeat and catchy pop song combines elements of French pop, pop rock, and classic pop with lyrics that will have you singing along in no time, making it an international hit."
Music Of The Angels,Joseph McManners,In Dreams,2006,['beautiful' 'stagenscreen' 'pop rock'],This pop rock track is beautifully crafted and perfect for setting the stage on screen.
Track 15,Meat Beat Manifesto,Satyricon,1992,"['idm' 'hypnotic' 'techno' 'industrial' 'electronic' 'complex' 'cerebral'
 'alternative indie rock' 'pop rock' 'trippy' 'detached']","This alternative indie rock track is a unique fusion of detached pop rock and electronic sounds, with its hypnotic and trippy vibe heightened by elements of techno, industrial, and IDM, while its complex and cerebral production make for a truly hypnotic experience."
My Gift Of Silence,Blackfield,Blackfield NYC -  Blackfield Live In New York City,2007,['progressive rock'],"Drawing influence from classic rock, this band's latest single embodies a unique blend of haunting vocals, complex instrumentation, and thought-provoking lyrics that define the essence of progressive rock."
The Now,Mouthful of Bees,The End,2007,"['indie rock' 'rock' 'driving' 'party' 'quirky' 'garage' 'upbeat'
 'pop rock' 'indie']","Get ready to party with this indie rock anthem; the driving, upbeat garage sound and quirky lyrics make this pop rock gem the perfect addition to any playlist."
Nah Goa Jail,Peter Tosh,The Gold Collection,1996,"['laid back mellow' 'political reggae' 'confident' 'organic' 'intense'
 'roots reggae' 'hypnotic' 'earthy' 'fiery' 'rebellious' 'poignant'
 'summery' 'reggae']","This political reggae track combines fiery lyrics with an earthy, organic sound that's at once intense and hypnotic, conveying a message of rebellious confidence and poignant urgency that's both summery and laid back mellow in its roots reggae style."
Virginia State Epileptic Colony,Manic Street Preachers,Journal For Plague Lovers Remixes,2009,['rock' 'alternative rock' '00s'],Step back to the driving 00s era with a fusion of alternative rock and classic rock influences in this heart-pumping anthem that will leave you completely breathless.
No Esperaban Menos,Violadores del Verso,Genios,1999,['hip hop' 'rap'],This high-energy track combines elements of rap and hip hop to create an infectious sound that's sure to get even the most reluctant heads nodding.
Piggary and Peccary,Marmaduke Duke,The Magnificent Duke,0,['rock' 'pop rock'],This catchy pop rock tune features soaring guitar riffs and a driving beat that seamlessly blend elements of both pop and rock.
Anything But Ordinary,Avril Lavigne,Let Go,2001,"['cathartic' 'hanging out' 'earnest' 'gloomy' 'urgent' 'reflective'
 'brooding' 'smooth' 'dramatic' 'delicate' 'heartache' 'rock' 'bright'
 'breakup' 'girls night out' 'pop' 'wistful' 'rousing' 'sophisticated'
 'tense anxious' 'street smart' 'in love' 'contemporary pop rock'
 'stylish' 'rainy day' 'introspection' 'energetic' 'angst ridden'
 'bittersweet' 'manic' 'alternative indie rock' 'female vocalists'
 'reflection' 'adult alternative pop rock' 'feeling blue' 'yearning'
 'teen pop' 'searching' 'pop rock' 'plaintive' 'refined' 'long walk'
 'solitude' 'lively' 'slick']","Enjoy an thrilling and introspective journey with this dynamic and stylish album of adult alternative pop rock driven by energetic indie rock, sophisticated pop rock and contemporary pop rock rhythms, where the lively and manic beats contrast with cathartic and earnest reflections about solitude, yearning, heartache and angst, expressed through the delicate and slick female vocals and the brooding and wistful pop textures, creating a bright yet gloomy atmosphere perfect for long walks on rainy days, teen pop girls night outs or solitary moments of introspection and reflection, all wrapped up in a rousing and dramatic sound that will leave you feeling both tense and cathartic."
I Wanna Take You Higher Again,Duran Duran,Thank You,1995,"['laid back mellow' 'confident' 'dramatic' 'sex' 'partying' 'celebratory'
 'rock' 'club' 'punk new wave' 'melancholy' 'boisterous' 'synth pop'
 'sexy' 'late night' 'alternative' 'wistful' 'rousing' 'sophisticated'
 'electronic' 'bravado' 'dreamy' 'dance rock' 'contemporary pop rock'
 'stylish' 'sensual' 'energetic' 'bittersweet' 'alternative rock'
 'adult alternative pop rock' 'pop rock' 'poignant' 'hard rock' 'gutsy'
 'new romantic' 'detached' 'slick' '80s']","This adult alternative pop rock song is a high-energy, sophisticated and confidently gutsy mix of electronic and contemporary pop rock with a laid back mellow undertone, boasting slick and stylish new romantic touches infused with a wistful melancholy, addictive synth pop sounds and a sexily dramatic and rousing 80s influence. The track seamlessly blends elements of alternative, alternative rock, punk new wave and hard rock, creating a boisterous and celebratory partying vibe that's perfect for late night clubbing and stylish dance rock, all while evoking a dreamy and sensual atmosphere that's both poignant and bittersweet."
Panorâmica,Skank,Carrossel,2006,['brasil' 'rock' 'latin'],This electrifying tune combines the infectious rhythms of Brazil with the energetic power of Latin and rock to create a one-of-a-kind musical experience.
See You Next Tuesday,The Acacia Strain,The Dead Walk,2006,['deathcore' 'metalcore' 'brutal' 'hardcore' 'metal'],"This song is a brutal metalcore anthem that seamlessly blends elements of metal, hardcore, and deathcore to create an explosive and heavy-hitting masterpiece."
Don't Blame Your Daughter (Diamonds),The Cardigans,Best Of,2005,['rock' 'pop'],"This high-energy song blends the best of pop and rock, featuring catchy melodies and powerful guitar riffs that will have you singing along in no time."
Rocker (Remixed By Gilby Clarke),Hollywood Rose,The Roots of Guns n Roses,0,['hard rock'],This hard rock anthem is guaranteed to pump up audiences with its relentless guitar riffs and thundering drums.
Underneath the Golden Grain,Reubens Accomplice,The Bull_ The Balloon_ and The Family,0,"['emo' 'indie rock' 'rock' 'boisterous' 'pop' 'rambunctious' 'rousing'
 'quirky' 'ambitious' 'alternative indie rock' 'pop rock' 'playful'
 'indie' 'freewheeling']","This alternative indie rock song is a playful and boisterous mix of pop rock and indie influences, with a freewheeling and ambitious spirit that is both rousing and emo, making for a quirky and fun indie rock anthem that is sure to get your toes tapping and your head nodding along to its rambunctious beat."
Stop,Unsane,Occupational Hazard,1998,"['indie rock' 'urgent' 'hostile' 'outraged' 'malevolent' 'aggressive'
 'intense' 'alternative pop rock' 'noise rock' 'menacing'
 'confrontational' 'hardcore' 'reckless' 'unsettling' 'tense anxious'
 'suffocating' 'manic' 'american underground' 'alternative indie rock'
 'metal' 'pop rock' 'post hardcore' 'harsh' 'fierce' 'angry' 'volatile'
 'visceral' 'bleak']","Get ready for a turbulent ride as this aggressive and confrontational alternative indie rock anthem merges the sounds of pop rock, noise rock, post hardcore, and hardcore, creating an intense and menacing soundscape. With urgent and harsh vocals, suffocating riffs, and reckless drumming, this American underground band unleashes their outraged and visceral reaction to the world, inviting you into their manic and hostile universe. The alternative pop rock and metal influences add a tense, anxious, and malevolent atmosphere, making this a volatile and angry track that will leave you breathless. Brace yourself for a fierce and bleak experience that will leave you unsettled."
Bricks,Rise Against,The Sufferer & The Witness,2006,['punk' 'punk rock'],This high-energy punk rock anthem features fast-paced guitar riffs and raw vocals that perfectly capture the rebellious spirit of the punk movement.
Ayó Da (Goodbye My Dear),Andy Palacio & the Garifuna Collective,Wátina,2007,['world' 'african'],"This captivating song takes a journey across the world, filled with pulsating African rhythms that will take your soul on an epic adventure."
Isn't It A Shame,Phoebe Snow,Second Childhood,0,"['earnest' 'laid back mellow' 'reflective' 'confident' 'contemporary folk'
 'romantic' '70s' 'soft rock' 'amiable good natured' 'passionate'
 'sentimental' 'adult contemporary' 'contemporary pop rock' 'rainy day'
 'gentle' 'bittersweet' 'acoustic' 'soothing' 'soul' 'singer songwriter'
 'pop rock' 'poignant' 'blues' 'intimate' 'folk' 'sweet']","This sentimental pop rock song is a poignant and soulful reflection on love, brought to life by a passionate and amiable singer-songwriter with a confident and sweet voice. The laid back, mellow atmosphere and contemporary folk vibes make it perfect for a rainy day, while the earnest and gentle lyrics capture the romantic and bittersweet essence of the 70s. With a soothing and intimate acoustic sound, this contemporary pop rock ballad evokes the nostalgic charm of adult contemporary and blues, making it a must-listen for fans of soft rock and thoughtful folk music."
Not Coming Home,Maroon 5,Songs About Jane,2003,"['earnest' 'reflective' 'romantic evening' 'romantic' 'rock' 'bright'
 'girls night out' 'pop' 'mischievous' 'sexy' 'amiable good natured'
 'passionate' 'carefree' 'sentimental' 'wistful' 'stylish' 'bittersweet'
 'alternative indie rock' 'adult alternative pop rock' 'pop rock' 'gritty'
 'new love' 'playful' 'sweet']","Experience a soul-stirring mix of adult alternative pop rock and alternative indie rock that explore the many facets of love with sentimental lyrics and bright melodies in this amiable, good-natured and passionate album, perfect for a romantic evening or girls night out, weaving playful, gritty and stylish pop rock tunes with sweet and earnest ballads that capture the essence of new love, wistful reflection and mischievous, sexy and bittersweet moments of carefree romance."
The White One Is Evil (radio edit),Elliot Minor,The White One Is Evil,2007,['rock'],Experience the raw energy and unbridled power of rock in this electrifying new song.
Way Down That Lonesome Road,Lonnie Johnson,Lonnie Johnson Vol. 4 (1928 - 1929),1928,['blues'],This soulful track embodies the raw emotion of blues with its haunting melody and powerful lyrics.
Wrecking Ball,Operahouse,Man Next Door,0,['indie rock' 'british' 'pop rock' 'indie'],Experience the perfect blend of pop rock and indie sounds with a touch of British flair in this captivating indie rock melody.
My Love Will Never Die (Single/LP Version),Otis Rush,Mourning In The Morning,0,"['electric blues' 'regional blues' 'chicago blues' 'rnb'
 'electric chicago blues' 'blues' 'strong' 'lively']","Get ready to be transported to the windy city with this regional blues masterpiece that blends strong, lively rhythms with classic Chicago blues and hints of RnB, all electrified with an unforgettable electric blues sound."
10 Minute High,Groove Theory,Groove Theory,1995,"['female vocalist' 'rnb' 'contemporary rnb' 'sentimental' '90s' 'soul'
 'positive' 'strong']","This sentimental contemporary R&B ballad with soulful 90s vibes is delivered by a strong female vocalist, enveloping the listener in positive emotions."
Read My Lips,Duran Duran,Liberty,1990,"['celebratory' 'theatrical' 'rock' 'punk new wave' 'pop' 'synth pop'
 'sexy' 'alternative' 'passionate' 'dance rock' 'contemporary pop rock'
 'stylish' 'sensual' 'alternative rock' 'dance' '90s' 'pop rock'
 'hard rock' 'new romantic']","This eclectic song is a blend of contemporary pop rock, alternative rock, and synth pop with 90s new romantic and punk new wave influences, resulting in a stylish and celebratory dance rock anthem that is both passionate and sensual with hard rock elements, while also incorporating sexy and theatrical flair."
Chromatic (Emporium Mix),Jochen Miller,Chromatic,2006,['trance' 'electronic'],This song is a hypnotic and uplifting electronic trance track that transports listeners to a dream-like state with its pulsing beats and mesmerizing melodies.
It's Raining,Eleni Mandell,Country For True Lovers,2003,"['alternative pop rock' 'alternative country rock' 'sexy'
 'alternative indie rock' 'country' 'pop rock' 'americana'
 'traditional country' 'contemporary singer songwriter']","This alternative indie rock/pop rock song blends elements of Americana, contemporary singer-songwriter and traditional country with a touch of alternative country rock, alternative pop rock and country, creating a sexy and unique sound."
A Letter From Janelle [Acoustic Version],Chiodos,Bone Palace Ballet: Grand Coda,0,['emo' 'acoustic' 'post hardcore'],"An emotional rollercoaster ride through the depths of post hardcore and emo, accompanied by raw and intimate acoustic arrangements."
Start Again,Red,Innocence & Instinct,0,['rock' 'alternative rock' 'hard rock'],This song is a hard-hitting piece of alternative rock that seamlessly blends the classic sounds of rock and hard rock.
Save Me,Airwave,Save Me  - Original + Remixes,2001,['trance'],Get lost in the hypnotic beats and dreamy melodies of this euphoric trance track.
Love Without Mercy,Lee Roy Parnell,Hits And Highways Ahead,1992,['contemporary country' 'country' 'new traditionalist'],This contemporary country song captures the heart and soul of new traditionalist with its seamless blend of classic country elements and modern production.
Sweet Caroline,Neil Diamond,Hot August Nights II,1968,"['earnest' 'laid back mellow' 'confident' 'smooth' 'romantic' '70s'
 'soft rock' 'oldies' 'pop' 'classic rock' 'sentimental'
 'adult contemporary' 'contemporary pop rock' 'gentle' 'innocent'
 'soothing' 'pop rock' 'refined' 'cheerful']","This sentimental and refined classic rock song infuses elements of pop rock and contemporary pop rock, with laid back mellow and soothing soft rock undertones that evoke a confident yet gentle and earnest spirit. With romantic and innocent lyrics and a cheerful, oldies-inspired melody, it's a perfect blend of adult contemporary and smooth 70s nostalgia that's sure to leave you feeling relaxed and contented."
Contradicting Words,Jessie Baylin,Firesight,2005,"['earnest' 'reflective' 'literate' 'melancholy' 'amiable good natured'
 'sentimental' 'rousing' 'lush' 'earthy' 'stylish' 'bittersweet'
 'innocent' 'sad' 'pop rock' 'poignant' 'intimate' 'refined' 'folk'
 'precious' 'contemporary singer songwriter']","Experience a bittersweet journey with a contemporary singer-songwriter whose lush and refined pop rock sound is both intimate and rousing, exploring sentimental and poignant topics with an amiable good-natured touch, all while showcasing an earthy and literate approach that tugs at your heartstrings and leaves you with a precious feeling of melancholy and earnest innocence."
Brutal-8-E (Z-Trance Mix),Altern 8,Brutal-8-E,1992,"['alternative pop rock' 'electronic' 'alternative indie rock' 'house'
 'pop rock']","This alternative indie rock song is a unique mixture of pop rock, electronic, and house elements, resulting in an infectious blend of alternative pop rock that is sure to get listeners moving."
455,Unsane,Total Destruction,1994,"['cathartic' 'indie rock' 'brooding' 'hostile' 'aggressive' 'messy'
 'alternative pop rock' 'noise rock' 'confrontational' 'industrial'
 'nihilistic' 'tense anxious' 'american underground'
 'alternative indie rock' 'pop rock' 'progressive metal' 'post hardcore'
 'harsh' 'angry' 'bleak']","Experience the cathartic release of aggression and angst with this explosive blend of alternative indie rock and noise, featuring harsh, brooding vocals set against a backdrop of messy, industrial soundscapes and tense, anxious rhythms, delivering an unapologetically nihilistic and hostile perspective on the modern world - all while seamlessly blending elements of progressive metal, post hardcore, and alternative pop rock into an unforgettable and confrontational sonic experience that perfectly captures the bleak, angry energy of the American underground scene."
Ocean Of Innocence,Klaus Schulze & Lisa Gerrard,Dziekuje Bardzo - Vielen Dank,2009,['electronic'],"Experience the electrifying beats of this futuristic single, fueled by intricate electronic sounds and soaring melodies."
All right,Tieum,I've got nothing to lose,2004,['hardcore'],This hardcore rock anthem is sure to get the mosh pit roaring.
Marrakech,ATB,No Silence,2004,"['trance' 'intense' 'club dance' 'progressive house' 'progressive trance'
 'hypnotic' 'passionate' 'lush' 'electronic' 'stylish' 'sensual'
 'energetic' 'house' 'elaborate' 'pop rock' 'playful']","Get ready to dance the night away with an energetic and passionate blend of pop rock and progressive house, as elaborate electronic beats meet lush and hypnotic melodies, taking you on a stylish journey through progressive trance and sensual house, all wrapped up with a playful and intense club dance vibe."
Sugar And Spice,Scritti Politti,Provision,1988,"['exuberant' 'hanging out' 'partying' 'romantic' 'sparkling' 'day driving'
 'bright' 'pop' 'carefree' 'dance pop' 'dreamy' 'in love' 'dance rock'
 'contemporary pop rock' 'stylish' 'energetic' 'gentle' 'warm'
 'alternative indie rock' 'fun' 'funk' 'new wave' 'pop rock' 'summery'
 'summer' 'refined' 'playful' 'sophisti pop' 'alternative dance' 'sweet'
 '80s']","This upbeat and refined alternative indie rock song is perfect for day driving with its exuberant energy, bright pop-rock beats and dance pop sound. It's a sweet ode to being in love and features alternative dance and romantic themes with gentle contemporary pop rock instrumentals, sparkling funk elements and plenty of fun. The sophisti pop, playful 80s summer vibes are perfect for hanging out, partying and feeling stylish, while the dreamy new wave and carefree lyrics transport you to a summery paradise. Overall, this dance rock anthem is warm, energetic, and perfect for any carefree occasion."
